cluster_id,target_label,factor_name,factor_family,meaning_cn,cluster_theme_cn,single_factor_status,validation_rank_ic_mean,suggested_keep_flag,suggested_drop_flag,corr_to_keep_factor,manual_review_note
Q01,y_quarter_avg_daily_return_close,cash_flow__staff_behalf_paid,cash_flow,支付给职工以及为职工支付的现金，常与经营规模同步变化。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.07194,1,0,,
Q01,y_quarter_avg_daily_return_close,balance__capital_reserve_fund,balance,资本公积，反映股本溢价等资本性积累。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.032047,0,1,0.874163,
Q01,y_quarter_avg_daily_return_close,balance__cash_equivalents,balance,期末现金及现金等价物余额，反映账面流动现金头寸。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.06421,0,1,0.893736,
Q01,y_quarter_avg_daily_return_close,balance__deferred_tax_assets,balance,递延所得税资产，反映未来可抵扣暂时性差异形成的资产。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.003085,0,1,0.855391,
Q01,y_quarter_avg_daily_return_close,balance__equities_parent_company_owners,balance,归属于母公司股东权益，反映母公司口径净资产。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.042982,0,1,0.907106,
Q01,y_quarter_avg_daily_return_close,balance__ordinary_risk_reserve_fund,balance,一般风险准备，银行为覆盖风险提取的准备。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.026662,0,1,0.88018,
Q01,y_quarter_avg_daily_return_close,balance__total_assets,balance,总资产，反映银行整体规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.07015,0,1,0.901503,
Q01,y_quarter_avg_daily_return_close,balance__total_liability,balance,总负债，反映银行整体负债规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.067974,0,1,0.90118,
Q01,y_quarter_avg_daily_return_close,balance__total_owner_equities,balance,所有者权益合计，反映总净资产规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.048194,0,1,0.906017,
Q01,y_quarter_avg_daily_return_close,cash_flow__interest_and_commission_cashin,cash_flow,收取利息和手续费收到的现金，反映经营现金流入规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,B,0.012403,0,1,0.874191,
