code,bank_name,source_type,source_file,field_name_english,field_name_chinese,report_year,report_date,notice_date,value,unit_or_percent,value_scope,standard_threshold,mapping_target,source_page,raw_snippet_reference,raw_snippet_text,extraction_method,review_status,review_note,confidence,note
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,capital_adequacy_ratio,资本充足率,2024,2024-12-31,,13.11,%,Group,>=10.75,capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,资本充足率 >=10.75 13.11 13.43 13.01,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,tier_1_capital_adequacy_ratio,一级资本充足率,2024,2024-12-31,,10.69,%,Group,>=8.75,tier_1_capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,一级资本充足率 >=8.75 10.69 10.90 10.40,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,core_tier_1_capital_adequacy_ratio,核心一级资本充足率,2024,2024-12-31,,9.12,%,Group,>=7.75,core_tier_1_capital_adequacy_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,核心一级资本充足率 >=7.75 9.12 9.22 8.64,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,non_performing_loan_ratio,不良贷款率,2024,2024-12-31,,1.06,%,Bank,<=5,non_performing_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,不良贷款率 1.06% 1.06% -,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 annual report indicator section.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,provision_coverage_ratio,拨备覆盖率,2024,2024-12-31,,250.71,%,Bank,>=130,provision_coverage_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,拨备覆盖率 250.71% 277.63% -26.92 个百分点,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 annual report indicator section.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,provision_to_loan_ratio,拨贷比,2024,2024-12-31,,2.66,%,Bank,>=1.8,provision_to_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,拨贷比 >=1.8 2.66,deepseek_assisted_manual_review,reviewed,Threshold comes from the banking regulatory standard; the value is aligned to the annual report context.,medium,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,liquidity_ratio,流动性比例（本外币）,2024,2024-12-31,,68.91,%,Bank,>=25,liquidity_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,流动性比例（本外币） >=25 68.91 68.01 55.19,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,liquidity_matching_ratio,流动性匹配率,2024,2024-12-31,,138.74,%,Bank,>=100,liquidity_matching_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,流动性匹配率 >=100 138.74 144.66 140.39,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,2024,2024-12-31,,1.56,%,Bank,<=10,single_largest_customer_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,单一最大客户贷款占资本净额比率 <=10 1.56 2.58 2.74,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
000001.XSHE,平安银行,eastmoney_annual_report_pdf,000001_XSHE_2024_annual_report.pdf,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,2024,2024-12-31,,11.40,%,Bank,not_applicable,top_ten_customer_loan_ratio,,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt#regulatory_table,最大十家客户贷款占资本净额比率 不适用 11.40 12.77 13.93,deepseek_assisted_manual_review,reviewed,Value taken from the 2024 regulatory indicator table in the annual report.,high,Annual report value normalized into the standard long-table format.
